
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
   100             1        1.095411E-01      1.421791E-03       3
   101             1        1.095377E-01      1.385445E-03       3
   102             1        1.095344E-01      1.350888E-03       3
   103             1        1.095313E-01      1.317991E-03       3
   104             1        1.095283E-01      1.286638E-03       3
   105             1        1.095255E-01      1.256724E-03       3
   106             1        1.095229E-01      1.228152E-03       3
   107             2        1.095225E-01      1.200835E-03       3
   108             2        1.095221E-01      1.187697E-03       3
   109             2        1.095217E-01      1.174839E-03       3
   110             2        1.095213E-01      1.162252E-03       3
   111             2        1.095209E-01      1.149928E-03       3
   112             2        1.095206E-01      1.137858E-03       3
   113             2        1.095202E-01      1.126036E-03       3
   114             2        1.095198E-01      1.114453E-03       3
   115             2        1.095195E-01      1.103103E-03       3
   116             2        1.095191E-01      1.091978E-03       3
   117             2        1.095188E-01      1.081072E-03       3
   118             2        1.095185E-01      1.070378E-03       3
   119             2        1.095182E-01      1.059891E-03       3
   120             2        1.095178E-01      1.049605E-03       3
   121             2        1.095175E-01      1.039513E-03       3
   122             2        1.095172E-01      1.029611E-03       3
   123             2        1.095169E-01      1.019893E-03       3
   124             2        1.095166E-01      1.010354E-03       3
   125             2        1.095163E-01      1.000990E-03       3
   126             2        1.095160E-01      9.917953E-04       3
 -------------------------------------------------------------------

 Number of outliers:  2
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.095064E-01            -            3
     1             1        1.095047E-01      9.827656E-04       3
 -------------------------------------------------------------------

 Number of outliers:  3
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.095011E-01            -            3
     1             2        1.095008E-01      9.651021E-04       3
 -------------------------------------------------------------------

 Number of outliers:  4
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.069064E-01            -            1
     1            14        1.040816E-01      7.300304E+00       1
     2             7        1.630237E-02      1.018672E+01       1
     3             4        5.452745E-03      3.872575E-01       1
     4             5        4.079648E-03      2.040958E-01       1
     5             4        3.848000E-03      3.690727E-02       2
     6             1        3.555643E-03      1.715853E-02       2
     7             1        3.357255E-03      1.836887E-02       2
     8             1        3.322075E-03      5.440002E-03       1
     9             2        3.303453E-03      5.889701E-03       2
    10             3        3.291988E-03      6.641528E-03       2
    11             1        3.255825E-03      5.702706E-03       3
    12             1        3.199817E-03      7.014312E-03       3
    13             1        3.108071E-03      9.007361E-03       3
    14             4        3.088993E-03      1.228726E-02       3
    15             1        3.088993E-03      4.910522E-13       5
 -------------------------------------------------------------------
